NR3C2	ACTG1
NR3C2	HSP90AA1
NSD1	ESR1
NSUN2	AURKB
NTRK2	BDNF
NTRK2	GIPC1
NXPH1	NRXN1
PAK6	ESR1
PAX5	CREBBP
PAX8	EP300
PBX1	HOXB1
PBX1	HOXB8
PBX1	MEIS1
PCSK5	ATN1
PDZD3	GUCY2C
PEX16	PEX14
PEX5	PEX14
PHC3	CBX2
PHF12	MORF4L1
PIAS1	BRCA1
PIAS1	CREBBP
PIAS1	ESR1
PIAS1	MBD1
PIAS1	NCOR1
PIAS1	NR3C2
PIK3R1	ARHGEF7
PIK3R1	BCAR1
PIK3R1	CD28
PIK3R1	CD40
PIK3R1	CRK
PIK3R1	ESR1
PIK3R1	FLT3
PIK3R1	GRB2
PIK3R1	HGS
PIK3R1	IRS1
PIK3R1	JAK2
PIK3R1	MET
PIK3R1	NFKBIA
PIK3R1	NUP85
PLAUR	FGR
PLAUR	JAK2
PLCB3	CAMK2B
PLCG2	JAK2
PLRG1	CRNKL1
POLR2A	BRCA1
POLR2A	CREBBP
POLR2A	CTR9
POLR2A	DDX5
POLR2A	ELL
POLR2A	EP300
POLR2A	FUS
POLR2A	GTF2F1
POLR2A	LEO1
POLR2A	MCM3
POLR2A	MED1
POLR2A	MED26
POU2F2	HMGB2
PPIG	POLR2A
PPP1CA	AKAP1
PPP1CA	BRCA1
PPP1CA	CASC5
PPP1CA	FXYD1
PPP1CA	PCDH7
PPP1R11	PPP1CA
PRDM1	AES
PRKAR1A	AKAP1
PRKAR1A	AKAP4
PRKAR1A	AKAP7
PRKAR1A	GRB2
PRKAR1A	MYO7A
PRKAR1B	AKAP1
PRKAR1B	PRKAR1A
PRKCG	GABRA1
PRKCG	GRIA4
PRKCG	GRIN1
PRKCG	IRS1
PRKCG	MARK4
PRKCZ	ADAP1
PRKCZ	ADCY5
PRKCZ	IRAK1
PRKCZ	IRS1
PRPF19	CRNKL1
PRPF19	EXOC7
PRPF19	PLRG1
PRPF8	CRNKL1
PRPF8	PRPF19
PRSS23	ACTG1
PRSS23	ODF2L
PRSS23	PHF23
PRX	DAG1
PSENEN	APH1A
PSENEN	E2F4
PSMC5	CIITA
PSMC5	ESR1
PSMC6	CRK
PSMC6	PSMC5
PSMD11	PSMA7
PSMD11	PSMC5
PSMD11	PSMC6
PSMD3	PSMA7
