Target	Source
NCOA2	HNF4A
NCOA2	KIF5A
NCOA2	KIF5B
NCOA2	KIF5C
NCOA2	MEF2C
NCOA2	NCOA1
NCOR1	ACTN2
NCOR1	BAZ1A
NCOR1	BCL6
NCOR1	CBFA2T3
NCOR1	CHD1
NCOR1	COPS2
NCOR1	CREBBP
NCOR1	DACH1
NCOR1	DHX30
NCOR1	ETS1
NCOR1	ETS2
NCOR1	ETV6
NCOR1	HDAC2
NCOR1	HDAC4
NCOR1	HDAC5
NCOR1	HDAC7
NCOR1	HTT
NCOR1	KDM4A
NCOR1	MYBL2
NCOR1	NCOA1
NCOR2	AKT1
NCOR2	ARNT
NCOR2	BCL6
NCOR2	CIR1
NCOR2	CREBBP
NCOR2	FOS
NCOR2	HDAC2
NCOR2	HDAC4
NCOR2	HDAC5
NCOR2	HDAC7
NCOR2	MYBL2
NCOR2	NCOR1
NCSTN	ABL1
NDFIP2	ITCH
NEBL	ACTN1
NEDD4L	NDFIP2
NEFM	MINK1
NEFM	NEFH
NEK9	NEK6
NF1	GRIN1
NFATC1	EGR1
NFATC1	MAPK14
NFIC	CREBBP
NFKB1	ATF3
NFKB1	BCL3
NFKB1	CFLAR
NFKB1	CTNNB1
NFKB1	DPF2
NFKB1	ELF3
NFKB1	ETS1
NFKB1	FBXW11
NFKB1	FOS
NFKB1	G3BP2
NFKB1	HDAC2
NFKB1	HMGB1
NFKB1	IKBKB
NFKB1	KAT5
NFKB1	KLF5
NFKB1	LYL1
NFKB1	MAP3K8
NFKB1	NCOA1
NFKB1	NCOR2
NFKB2	BCL3
NFKB2	FBXW7
NFKB2	GTF2I
NFKB2	HDAC4
NFKB2	HDAC5
NFKB2	IKBKB
NFKB2	LTBR
NFKB2	MAP3K8
NFKB2	NFKB1
NFRKB	ACTR5
NFRKB	INO80
NFRKB	INO80D
NFRKB	NFKB1
NFYA	KAT2B
NGEF	CDC42
NID2	COL13A1
NID2	LAMC1
NIPBL	DBN1
NIPBL	MED23
NKAP	DDX41
NKAP	DHX15
NKAP	DHX8
NKAP	LUC7L2
NLGN3	DLG2
NMT1	CAPN2
NOL4	CTBP2
NOS1	ADRA1B
NOS1AP	LRP2
NOS1AP	NOS1
NOS1	ATP2B4
NOS1	CAMK2A
NOS1	CAMK4
NOS1	CTBP1
NOS1	DLG2
NOS2	ACTN4
NOS3	AKT1
NOS3	NMT1
NOTCH1	AKT1
NOTCH1	APBB1
NOTCH1	CBL
NOTCH1	CTNNB1
NOTCH1	DLL1
NOTCH1	DLL4
NOTCH1	DTX2
NOTCH1	FBXW7
NOTCH1	FURIN
NOTCH1	HIF1A
NOTCH1	ITCH
NOTCH1	JAG1
NOTCH1	JAG2
NOTCH1	KAT2B
NOTCH1	KAT5
NOTCH1	LEF1
NOTCH1	LFNG
NOTCH1	MAML1
NOTCH1	MEF2C
NOTCH1	NFKB1
NOTCH2	DLL1
NOTCH2	JAG1
NOTCH2	JAG2
NOTCH2	LFNG
NOTCH2	MAML1
NOTCH3	DLL1
NOTCH3	JAG1
NOTCH3	JAG2
NOTCH3	KAT2B
NOTCH3	MAML1
NOTCH3	NOTCH1
NOTCH4	DLL4
NOTCH4	FBXW7
NOTCH4	MAML1
NPAS2	CREBBP
NPAS2	KAT2B
NPAS4	ARNT
NPAS4	ARNT2
NPHS1	IQGAP1
NPLOC4	FAF1
NPLOC4	G6PD
NPM1	AKT1
NPM1	CTCF
NPM1	HDAC2
NPM1	NCL
NR1D1	NCOR1
NR1D1	NCOR2
NR1H2	NCOR1
NR1H2	NCOR2
NR2C1	HDAC4
NR2C2	HNF4A
NR2C2	IKBKB
NR2C2	NR2C1
NR2E1	ATN1
NR2E1	HDAC5
NR3C1	CHD9
NR3C1	CREB1
NR3C1	CREBBP
NR3C1	DAXX
NR3C1	DDB1
NR3C1	ETS1
NR3C1	ETS2
NR3C1	HDAC2
NR3C1	HDAC6
NR3C1	HNRNPU
NR3C1	KDM5A
NR3C1	MAPK8
NR3C1	MED14
NR3C1	NCL
NR3C1	NCOA1
NR3C1	NCOA2
NR3C1	NCOR1
NR3C1	NCOR2
NR3C1	NEDD4L
NR3C1	NFKB1
NR3C1	NFKB2
NR3C2	HSPA4
NR3C2	NR3C1
NR6A1	NCOR1
NRD1	FBXW11
NRXN1	MACF1
NRXN1	MYO16
NRXN1	NLGN3
NRXN2	MACF1
NRXN2	MLLT4
NRXN2	NLGN3
NSF	GABBR1
NSF	GABBR2
NSF	GRIA2
NSF	GRIA3
NSF	LUC7L2
NSUN2	NCL
NSUN2	NPM1
NTRK2	KIDINS220
NUMB	AP2A1
NUMB	DPYSL2
NUMB	ITCH
NUMBL	NOTCH1
NUMB	LNX2
NUMB	NOTCH1
OBSCN	ANK1
OBSCN	ANK2
OBSCN	MYH2
OCLN	CSNK1E
OCLN	ITCH
OCRL	CDC42
OPHN1	CDC42
PABPC1	CARM1
PABPC1	EIF4B
PABPC1	EIF4G1
PABPC1	EIF4G3
PABPC1	GSPT1
PACS1	AP1G1
PACS1	CSNK2A1
PACS1	FURIN
PACS1	IGF2R
PACSIN1	ARHGAP17
PACSIN1	HTT
PAF1	CHD1
PAF1	CTR9
PAF1	LEO1
PAK1	AKT1
PAK1	ARHGEF2
PAK1	BAIAP2
PAK1	BMPR1B
PAK1	CDC42
PAK1	CDK11B
PAK1	CSNK2A1
PAK1	EGFR
PAK1	ERBB2
PAK1	FLNA
PAK1	FOXO1
PAK1	GIT1
PAK1	HGS
PAK1	MAP2K1
PAK1	MYLK
PAK2	ABL1
PAK2	CDC42
PAK2	EIF4B
PAK2	EIF4G1
PAK2	GIT1
PAK2	MYLK
PAK3	CDC42
PAK3	GIT1
PAK3	GRIN1
PAK3	PAK1
PAN3	PABPC1
PAPOLA	CPSF1
PAPOLA	CPSF3
PARD3	CCDC88A
PARD3	CDC42
PARD3	CTNNA1
PARD3	CTNNB1
PARD6A	CDC42
PARD6A	GLS
PARD6A	MAP2K5
PARD6A	MARK2
PARD6A	MARK4
PARD6A	PARD3
PAX2	MAPK8
PAX3	DAXX
PAX3	IPO13
PAX5	CREBBP
PAX5	DAXX
PAX5	EBF1
PAX5	ETS1
PAX5	MYB
PAX6	DIAPH1
PAX6	IPO13
PAX8	ETS2
PAX9	KDM5B
PAXIP1	ASH2L
PAXIP1	KDM6A
PAXIP1	PAX2
PBX1	HOXD10
PBX1	MEIS2
PBX1	MYH10
PBX1	NR3C1
PBX1	PAX6
PC	GOT1
PCSK5	AMH
PCSK5	ATN1
PCSK7	PABPC1
PDCD2	HCFC1
PDCD2	NCOR1
PDCD6	CPNE4
PDCD6IP	ATN1
PDCD6IP	CHMP4A
PDCD6IP	EGFR
PDCD6IP	PDCD6
PDCD6	MAP3K5
PDGFRA	CBL
PDGFRA	GRB14
PDGFRA	JAK1
PDGFRB	ARAF
PDGFRB	CBL
PDGFRB	COPA
PDGFRB	COPB1
PDGFRB	EGFR
PDGFRB	ETV6
PDGFRB	GRB10
PDGFRB	GRB14
PDGFRB	JAK1
PDGFRB	PDGFRA
PDLIM4	ABCA1
PDPK1	AKT1
PDPK1	CARD11
PDPK1	CDAN1
PDPK1	MTOR
PDPK1	PAK1
PDZD2	CTNND2
PDZD2	NRXN1
PDZK1	ABCA1
PEX6	ATF7IP
PFKM	NOS1
PGAM1	DCTN1
PHC1	CBX2
PHC1	CBX4
PHC1	CBX8
PHC3	CBX2
PHC3	CBX4
PHF21A	HDAC2
PHF21A	KDM1A
PHIP	DDB1
PHLPP1	AKT1
PICALM	AP2A1
PIK3C3	CKAP4
PIK3CA	ARHGEF1
PIK3CA	CBL
PIK3CA	GABRB1
PIK3CA	GRIN2B
PIK3CA	KRAS
PIK3CA	NOTCH1
PIK3CA	PDGFRB
PIK3R1	ABL1
PIK3R1	AGAP2
PIK3R1	AKT1
PIK3R1	ANK3
PIK3R1	ARAF
PIK3R1	ARHGAP17
PIK3R1	BCR
PIK3R1	CBL
PIK3R1	CBLB
PIK3R1	CDC42
PIK3R1	CSF1R
PIK3R1	CTNNB1
PIK3R1	EGFR
PIK3R1	EPHA2
PIK3R1	EPOR
PIK3R1	ERBB2
PIK3R1	FCGR2A
PIK3R1	FGFR1
PIK3R1	FGFR2
PIK3R1	GAB2
PIK3R1	HGS
PIK3R1	IGF1R
PIK3R1	IL1RAP
PIK3R1	INPP4A
PIK3R1	INPP5D
PIK3R1	INPPL1
PIK3R1	JAK1
PIK3R1	JAK3
PIK3R1	MAPK8
PIK3R1	MET
PIK3R1	PDGFRA
PIK3R1	PDGFRB
PIK3R1	PIK3CA
PIK3R2	ABL1
PIK3R2	CBL
PIK3R2	CSF1R
PIK3R2	EGFR
PIK3R2	EPHA2
PIK3R2	ERBB2
PIK3R2	FGFR1
PIK3R2	GAB2
PIK3R2	IGF1R
PIK3R2	INPPL1
PIK3R2	PDGFRB
PIK3R2	PIK3CA
PIK3R4	CKAP4
PIK3R4	PIK3C3
PIP5K1A	ARF5
PIP5K1C	AP1B1
PIP5K1C	AP2B1
PIP5K1C	LRP2
PITPNM2	CPNE4
PJA2	MAGED1
PLAA	HDAC6
PLAUR	FGR
PLAUR	IGF2R
PLAUR	JAK1
PLCB1	PARD3
PLCB1	PARD6A
PLCB3	CAMK2B
PLCB3	CAMK2G
PLCB3	PARD3
PLCB3	PARD6A
PLCG1	ABL1
PLCG1	AGAP2
PLCG1	AKT1
PLCG1	BCR
PLCG1	CAMK2A
PLCG1	CBL
PLCG1	DGKZ
PLCG1	DOK1
PLCG1	EGFR
PLCG1	EPOR
PLCG1	ERBB2
PLCG1	FGFR1
PLCG1	FGFR2
PLCG1	GAB2
PLCG1	GIT1
PLCG1	GRIN1
PLCG1	GRIN2A
PLCG1	GRIN2B
PLCG1	INPP5D
PLCG1	KDR
PLCG1	MET
PLCG1	NFAT5
PLCG1	NTRK2
PLCG1	PAK1
PLCG1	PDGFRA
PLCG1	PDGFRB
PLCG1	PICALM
PLCG1	PIK3R1
PLCG2	CBLB
PLCG2	EPOR
PLCG2	GAB2
PLCG2	JAK1
PLCG2	KDR
PLCG2	NPM1
PLG	ATP5B
PLG	F2R
PLG	HMGB1
PLG	LAMA3
PLK1	BIRC6
PLK1	CLIP1
PLK1	CTNNB1
PLK1	CYLD
PLK1	DCTN1
PLK1	KIF23
PLK1	MAGED1
PLK1	MYT1
PLK1	NPM1
PLK1	PITPNM1
PLRG1	CDC5L
PLXNA1	AKT1
PLXNA1	KDR
PLXNA2	DHX37
PLXNA2	FNBP4
PLXNA2	HACE1
PLXNB1	AKT1
PLXNB1	ARHGEF11
PLXNB1	ARHGEF12
PLXNB1	ERBB2
PLXNB1	MET
PLXNB1	PLXNA1
PLXNB2	ARHGEF11
PLXNB2	ARHGEF12
PLXND1	MACF1
PML	ARID3A
PML	ARNT
PML	BANP
PML	CCNT1
PML	CREBBP
PML	CSNK2A1
PML	DAXX
PML	FOS
PML	GATA2
PML	HDAC2
PML	MAPK14
PML	MYB
PML	NCOR1
PML	NCOR2
PML	NPM1
PML	NR2C1
PML	PAXIP1
PNN	CTBP1
PNN	CTBP2
PNPLA2	MARK3
POLD1	DHX9
POLD1	PMS2
POLE	POLD1
POLR1A	DKC1
POLR1B	DKC1
POLR1B	POLR1A
POLR2B	CTDP1
POT1	ACD
POU2F2	NR3C1
POU5F1	ETS2
POU5F1	HMGB1
POU5F1	NCL
PPARG	BRD8
PPARG	CHD7
PPARG	CNOT1
PPARG	CREBBP
PPARG	FOXO1
PPARG	KAT5
PPARG	KIF1A
PPARG	KLF4
PPARG	MAPK8
PPARG	MED24
PPARG	NCOA1
PPARG	NCOA2
PPARG	NCOR1
PPARG	NCOR2
PPFIA2	GIT1
PPFIA3	GIT1
PPFIA3	PPFIA2
PPIG	NKAP
PPIG	PNN
PPM1A	AKT1
PPM1A	CACNA1A
PPM1A	CACNA1B
PPM1A	CACNA1C
PPM1A	CTNNB1
PPM1A	GRM3
PPM1A	PIK3R1
PPM1D	CDC5L
PPM1D	NCL
PPM1G	GRIA3
PPP1CA	AKT1
PPP1CA	CAD
PPP1CA	CDC5L
PPP1CA	DCX
PPP1CA	GRIA1
PPP1CA	HCFC1
PPP1CA	HSPA4
PPP1CA	MYO16
PPP1CA	NOM1
PPP1CA	PHACTR1
PPP1CA	PHACTR3
PPP1CA	PHACTR4
PPP1R10	PPP1CA
PPP1R12A	MPRIP
PPP1R12A	PPP1CA
PPP1R14A	CSNK1E
PPP1R14A	CSNK1G2
PPP2CA	AKT1
PPP2CA	BMPR1B
PPP2CA	CAD
PPP2CA	CCT6A
PPP2CA	CTTNBP2NL
PPP2CA	HDAC4
PPP2CA	HDAC5
PPP2CA	IRAK1
PPP2CA	ISYNA1
PPP2CA	MAPT
PPP2CA	PACS1
PPP2CA	PPFIA2
PPP2CA	PPFIA3
PPP2CA	PPP1CA
PPP2CB	CCT6A
PPP2CB	CTTNBP2NL
PPP2CB	MAPT
PPP2CB	PACS1
PPP2R1A	AKT1
PPP2R1A	ARIH2
PPP2R1A	CTTNBP2NL
PPP2R1A	EIF4A1
PPP2R1A	GNA12
PPP2R1A	GRIN1
PPP2R1A	HSF2
PPP2R1A	HSPD1
PPP2R1A	PPFIA2
PPP2R1A	PPP2CA
PPP2R1A	PPP2CB
PPP2R2C	CCT6A
PPP2R2C	HSPD1
PPP2R2C	PPP2CA
PPP2R2C	PPP2R1A
PPP2R5B	PPP2CA
PPP2R5B	PPP2R1A
PPP2R5C	PPP2CA
PPP2R5C	PPP2CB
PPP2R5C	PPP2R1A
PPP2R5D	PPP2CA
PPP2R5D	PPP2CB
PPP2R5D	PPP2R1A
PPP3CB	CABIN1
PPRC1	NRF1
PRKAA1	ACACA
PRKAA1	FNIP1
PRKAA1	GRIK2
PRKAA1	MTOR
PRKAA1	PPP2CA
PRKAG1	FNIP1
PRKAG1	PRKAA1
PRKAG2	PRKAA1
PRKAG2	PRKAG1
PRKAR1A	ARFGEF1
PRKAR1A	EGFR
PRKAR1A	HLA-A
PRKAR1A	ITGA4
PRKAR1A	PJA2
PRKAR1B	PRKAR1A
PRKCA	ADCY5
PRKCA	ADRA1B
PRKCA	ADRBK1
PRKCA	ARHGEF1
PRKCA	ATP2B1
PRKCA	ATP2B2
PRKCA	CBL
PRKCA	CDC42
PRKCA	DGKZ
PRKCA	EGFR
PRKCA	FLNA
PRKCA	FLNC
PRKCA	FSCN1
PRKCA	GABRG2
PRKCA	GFPT1
PRKCA	GNA12
PRKCA	GRIA1
PRKCA	GRIA2
PRKCA	GRIA4
PRKCA	GRIN1
PRKCA	GRIN2A
PRKCA	GRIN2B
PRKCA	HABP4
PRKCA	HDAC6
PRKCA	HLA-A
PRKCA	HMGB1
PRKCA	IKBKB
PRKCA	ITGB4
PRKCA	ITPKB
PRKCA	KCNQ2
PRKCA	LMNA
PRKCA	MTOR
PRKCA	MYLK
PRKCA	NFATC1
PRKCA	NOS1
PRKCA	NUMB
PRKCA	OCLN
PRKCA	PLCB1
PRKCA	PPP1R14A
PRKCE	COPB1
PRKCE	COPB2
PRKCE	GNA13
PRKCE	GRIN1
PRKCE	IKBKB
PRKCE	MYH2
PRKCE	NUMB
PRKCE	PDPK1
PRKCE	PPP1R14A
PRKCG	ADRBK1
PRKCG	CDC42
PRKCG	GABRA1
PRKCG	GABRA4
PRKCG	GRIA4
PRKCG	GRIN1
PRKCG	GRIN2B
PRKCG	HABP4
PRKCG	MARK4
PRKCG	NOXA1
PRKCG	NUMB
PRKCG	OCLN
PRKCG	PARD3
PRKCG	PARD6A
PRKCG	PPP1R14A
PRKCZ	ADCY5
PRKCZ	AKT1
PRKCZ	CDC42
PRKCZ	GRB14
PRKCZ	HABP4
PRKCZ	IKBKB
PRKCZ	IRAK1
PRKCZ	JAK1
PRKCZ	MAP2K1
PRKCZ	MAP2K5
PRKCZ	NCL
PRKCZ	NUMB
PRKCZ	PARD3
PRKCZ	PARD6A
PRKCZ	PDPK1
PRKCZ	PPP1R14A
PRKCZ	PRKCA
PRKD2	HDAC7
PRMT1	ASH2L
PRMT1	CARM1
PRMT1	DHX9
PRMT1	EIF4A1
PRMT1	FUS
PRMT1	HABP4
PRMT1	HNRNPA1
PRMT1	HNRNPK
PRMT1	HNRNPR
PRMT1	HNRNPU
PRMT1	ILF3
PRMT1	KHDRBS3
PRMT1	NCOA1
PRMT1	NCOA2
PRMT1	NOL4
PRMT8	PRMT1
PROX1	CREBBP
PROX1	HNF4A
PROX1	NR3C2
PROX1	PAX6
PRPF38A	CHERP
PRPF38A	DHX8
PRPF38A	GTF3C1
PRPF38A	PPIG
PRPF4B	PNN
PRPF6	ARAF
PRPF6	NR3C1
PRPF8	CDC5L
PRPF8	DHX9
PRPF8	EFTUD2
PRPF8	PRPF6
PSMA3	ATN1
PSMA3	CSNK2A1
PSMA3	EGR1
PSMA3	PLK1
PSMA4	CSNK2A1
PSMA4	PLK1
PSMA4	PSMA3
PSMA6	ADRM1
PSMA6	PLK1
PSMA6	PSMA3
PSMA6	PSMA4
PSMC2	HSPA4
PSMC3	HIF1A
PSMC3	PSMC2
PSMC4	PSMC2
PSMC4	PSMC3
PSMC6	PSMC2
PSMC6	PSMC3
PSMC6	PSMC4
PSMD1	ADRM1
PSMD1	PSMA3
PSMD1	PSMA4
PSMD1	PSMA6
PSMD1	PSMC2
PSMD1	PSMC3
PSMD1	PSMC4
PSMD1	PSMC6
PSME3	ATN1
PSME3	ATP5B
PSME3	FXR2
PSME3	ITPKB
PTBP2	HNRNPC
PTBP2	KHDRBS3
PTBP2	MATR3
PTCH1	ADRBK1
PTCH1	IHH
PTEN	AKT1
PTEN	CSNK2A1
PTEN	EGR1
PTEN	MAGI2
PTEN	MAGI3
PTEN	MAST2
PTEN	MAST3
PTEN	PDGFRB
PTEN	PPP1CA
PTK2	ACTN1
PTK2	ASAP1
PTK2	BIN1
PTK2	CBL
PTK2	DLGAP3
PTK2	DNM2
PTK2	EGFR
PTK2	EPHA2
PTK2	ERBB2
PTK2	FGR
PTK2	FLT4
PTK2	GIT1
PTK2	GRIN1
PTK2	IGF1R
PTK2	ITGA4
PTK2	ITGB4
PTK2	KCNMA1
PTK2	MAPK8IP3
PTK2	PDGFRB
PTK2	PIK3CA
PTK2	PIK3R1
PTK2	PIK3R2
PTK2	PLCG1
PTK2	PTEN
PTPN12	ABL1
PTPN12	EGFR
PTPN12	ERBB2
PTPN12	MYCBP2
PTPN12	PDGFRB
PTPN12	PRKCA
PTPN12	PTK2
PTPN18	ABL1
PTPN18	ERBB2
PTPN23	CHMP4A
PTPN2	EGFR
PTPN2	JAK1
PTPN2	JAK3
PTPN2	PDGFRB
PTPN6	ABL1
PTPN6	ACTN1
PTPN6	ACTN4
PTPN6	BCR
PTPN6	CBL
PTPN6	CTNNB1
PTPN6	DOK1
PTPN6	EGFR
PTPN6	EPOR
PTPN6	GAB2
PTPN6	JAK1
PTPN6	JAK3
PTPN6	KDR
PTPN6	KIR2DL1
PTPN6	KIR2DL3
PTPN6	LAIR1
PTPN6	MYH9
PTPN6	NOS1
PTPN6	PIK3R1
PTPN6	PRKCA
PTPRB	CNTNAP1
PTPRB	MAGI3
PTPRB	MET
PTPRE	KCNB1
PTPRF	CTNNB1
PTPRF	JUP
PTPRF	PPFIA2
PTPRF	PPFIA3
PTPRF	PTPRA
PTPRM	CTNNB1
PTPRM	PCSK5
PTPRM	PTPRA
PTPRN	MADD
PTPRN	NOS1
PTPRS	CHD3
PTPRS	EGFR
PTPRS	KAT5
PTPRS	PPFIA2
PTPRS	PPFIA3
PTPRS	PTPRA
PTPRS	PTPRE
PTPRS	PTPRM
PTPRS	PTPRN
PTPRT	PTPRN
PTPRU	CTNNB1
PTPRU	GNAO1
PTPRU	PPFIA3
PUF60	CHD3
PUF60	FUBP1
PUF60	PTBP2
PWP1	DKC1
PXN	ABL1
PXN	ASAP1
PXN	ASAP2
PXN	BCR
PXN	CBL
PXN	GIT1
PXN	IGF1R
PXN	ITGA4
PXN	ITGA9
PXN	MAPK8
PXN	PABPC1
PXN	PAK1
PXN	PAK3
PXN	PDPK1
PXN	PPP2CA
PXN	PPP2R5C
PXN	PTEN
PXN	PTK2
PXN	PTPN12
PYCARD	CARD9
PYCARD	PRKAR1A
RAB11A	MYO5A
RAB11A	PPP2R1A
RAB11FIP1	RAB11A
RAB11FIP2	AP2A1
RAB11FIP2	RAB11A
RAB11FIP3	ARF5
RAB11FIP3	RAB11A
RAB11FIP4	RAB11A
RAB11FIP4	RAB11FIP2
RAB11FIP4	RAB11FIP3
RAB11FIP5	RAB11A
RAB11FIP5	RAB11FIP4
RAB14	OCRL
RAB1B	MICAL3
RAB6B	BMPR1B
RAB6B	KIF20A
RABGAP1	CARM1
RABGAP1	RAB6B
RABGEF1	AP1G1
RABGEF1	EGFR
RABGGTB	ARAF
RABGGTB	RAB11A
RAC1	AKT1
RAC1	ARHGAP17
RAC1	ARHGEF2
RAC1	ARHGEF4
RAC1	BAIAP2
RAC1	BCR
RAC1	CDC42
RAC1	CDC42BPG
RAC1	CLIP1
RAC1	CYFIP1
RAC1	DIAPH1
RAC1	FHOD1
RAC1	FLNA
RAC1	FLNB
RAC1	HACE1
RAC1	IL1RAP
RAC1	IQGAP1
RAC1	MAP3K11
RAC1	MAP3K4
RAC1	METAP2
RAC1	NCKAP1
RAC1	NGEF
RAC1	NOS2
RAC1	NOXA1
RAC1	OCRL
RAC1	OPHN1
RAC1	PAK1
RAC1	PAK2
RAC1	PAK3
RAC1	PARD6A
RAC1	PIK3R1
RAC1	PLCG1
RAC1	PLXNB1
RAC1	PRKCA
RAC1	PTPLAD1
RAC2	CDC42
RAC2	NOS2
RAC2	NOXA1
RAC2	PAK2
RAC2	PLCG2
RAD21	CTCF
RAD21	ESPL1
RAD21	PDS5A
RAD21	PDS5B
RAD54L2	ATN1
RAF1	ADCY6
RAF1	AKT1
RAF1	CDC25A
RAF1	CFLAR
RAF1	GRB10
RAF1	HSPA4
RAF1	JAK1
RAF1	KRAS
RAF1	MAP2K1
RAF1	MAP3K1
RAF1	MAP3K5
RAF1	MAPK8IP3
RAF1	NR3C1
RAF1	PAK1
RAF1	PAK2
RAF1	PAK3
RAF1	PDGFRB
RAF1	PEX5L
RAF1	PRKAA1
RAF1	PRKCA
RAF1	PRKCE
RAF1	PRKCZ
RAF1	RAC1
RALYL	FXR2
RALYL	HNRNPC
RANBP2	HDAC4
RANBP2	IPO5
RANBP2	KIF5B
RANBP2	KIF5C
RANBP9	DDX4
RANBP9	ITGAL
RANBP9	MET
RANBP9	MKLN1
RANBP9	PPARG
RAP1GAP	MLLT4
RAP1GAP	RAC1
RAPGEF1	ABL1
RAPGEF1	CBL
RAPGEF2	CTNNB1
RAPGEF2	MAGI2
RARG	MAP6
RARG	NCOA1
RARG	NCOR1
RARG	NCOR2
RASA1	ABL1
RASA1	BCR
RASA1	CSF1R
RASA1	DOK1
RASA1	EGFR
RASA1	EPHA2
RASA1	HSPD1
RASA1	HTT
RASA1	IGF1R
RASA1	KDR
RASA1	MAGI1
RASA1	MAP4K4
RASA1	PDGFRB
RASA1	PIK3R1
RASA1	PLCG1
RASA1	PXN
RASGRF1	NTRK2
RASGRF1	RAC1
RAVER1	ACTN1
RAVER1	ACTN2
RBBP5	ASH2L
RBBP5	CHD8
RBBP5	CTNNB1
RBBP5	CXXC1
RBBP5	HCFC1
RBBP5	KDM6A
RBBP5	PAXIP1
RBBP6	ETS1
RBBP6	LRCH4
RBBP6	NCOA1
RBM10	ATN1
RBM10	CCAR1
RBM10	DHX15
RBM10	DHX38
RBM10	HNRNPK
RBM10	MYSM1
RBM10	PRCC
RBM10	PTBP2
RBM17	DHX15
RBM22	AQR
RBM22	PRPF8
RBM39	CHERP
RBM39	NKAP
RBM39	PRPF38A
RBM39	RBM25
RBM42	HNRNPK
RBM42	RBM4
RBM4	AQR
RBM4B	HNRNPM
RBM4	DHX9
RBM4	HNRNPH3
RBM4	HNRNPK
RBM4	HNRNPM
RBM4	PTBP2
RBM4	RBM10
RBM4	RBM22
RBM5	DHX15
RBM5	ILF3
RBM5	PRPF8
RCN3	PCSK6
RELA	AES
RELA	BCL3
RELA	CAMK4
RELA	CARM1
RELA	CREBBP
RELA	CSNK2A1
RELA	DHX9
RELA	DPF2
RELA	EGR1
RELA	FAF1
RELA	FOS
RELA	FUS
RELA	HDAC2
RELA	HMGB1
RELA	HSPA4
RELA	IKBKB
RELA	KAT2B
RELA	KLF4
RELA	MAP3K7
RELA	MAP3K8
RELA	NCOR2
RELA	NFKB1
RELA	NFKB2
RELA	NOTCH1
RELA	NR3C1
RELA	PML
RELA	PPP2CA
RELA	PPP2CB
RELA	PPP2R1A
RELA	PRKCZ
RELA	REL
REL	BCL3
REL	CREBBP
REL	HSPA4
REL	MAP3K8
REL	MAPK8
REL	NFKB1
REL	NFKB2
RELN	LRP8
REL	NOTCH1
RELN	PCDHA6
RERE	ATN1
RERE	HDAC2
RERE	PSMA3
REST	HDAC2
REST	HTT
RET	CBL
RET	CBLB
RET	DOK1
RET	GRB10
RET	MAPK14
RET	MAPK8
RET	PIK3R1
RET	PLCG1
RET	PTK2
RET	PTPRF
REV3L	HDAC4
REV3L	REV1
RFX1	ABL1
RFX1	COL1A2
RFX1	HIVEP2
RFX1	HMGB1
RFX1	MAGED1
RFX1	NFIC
RFX2	RFX1
RFX3	RFX1
RFX6	CCNK
RFX6	DTX2
RFX6	RFX2
RFX6	RFX3
RHOU	PAK1
RHOU	PLCG1
RICTOR	AKT1
RICTOR	MTOR
RICTOR	PREX1
RICTOR	PRKCA
RIMS1	CACNA1B
RIMS1	CACNA1C
RIMS1	RAB10
RING1	BAP1
RING1	CBX2
RING1	CBX4
RING1	CBX6
RING1	CBX7
RING1	CBX8
RING1	E2F6
RING1	PHC1
RIPK2	BIRC2
RIPK2	CFLAR
RIPK2	IRAK1
RIPK2	MAP3K7
RNF20	PAF1
RNF31	ATN1
RNF40	RNF20
RNGTT	PDS5A
RNGTT	PDS5B
ROCK1	CDC25A
ROCK1	CDC34
ROCK1	DES
ROCK1	DPYSL2
ROCK1	GRIN1
ROCK1	PPP1R12A
ROCK1	PTK2
ROCK2	PPP1R12A
RORA	NCOA2
RORA	PROX1
RORB	MAP6
RORB	NCOA1
RORB	PSMC4
RPGR	DCTN1
RPGR	DCTN2
RPGR	NPM1
RPL13	CDC5L
RPL13	IPO5
RPL4	RPL13
RPS14	RBBP6
RPS14	RPL13
RPS6KA4	CREB1
RPS6KA4	FOS
RPS6KA4	MAP2K1
RPS6KA4	MAPK14
RPS6KB1	AKT1
RPS6KB1	CDC42
RPS6KB1	EIF3B
RPS6KB1	EIF4B
RPS6KB1	MAPK8
RPS6KB1	MAPT
RPS6KB1	MTOR
RPS6KB1	NEK6
RPS6KB1	PDPK1
RPS6KB1	PIK3CA
RPS6KB1	POLDIP3
RPS6KB1	PPP2CA
RPS6KB1	RAC1
RPS6KB1	RICTOR
RPTOR	AKT1S1
RPTOR	EIF3B
RPTOR	MTOR
RPTOR	PREX1
RPTOR	RICTOR
RPTOR	RPS6KB1
RRN3	POLR1A
RRN3	POLR1B
RRP12	DDX21
RSF1	NFKB1
RUFY3	FOXK1
RUNX3	CBFB
RUNX3	CTNNB1
RUNX3	HDAC2
RUNX3	HDAC4
RUNX3	HDAC5
RUNX3	NOTCH1
RXRA	BCL3
RXRA	BHLHE40
RXRA	BRD8
RXRA	CHD9
RXRA	CNOT1
RXRA	COPS2
RXRA	CTNNB1
RXRA	FUS
RXRA	GATA2
RXRA	JMJD1C
RXRA	KIF1A
RXRA	MED24
RXRA	MED25
RXRA	NCOA1
RXRA	NCOA2
RXRA	NCOR1
RXRA	NCOR2
RXRA	NFKB1
RXRA	NPAS2
RXRA	NR1H2
RXRA	NR4A2
