Target	Source
EIF3H	EIF3G
EIF3I	EIF3A
EIF3I	EIF3B
EIF3I	EIF3G
EIF3I	EIF3H
EIF3M	EIF3A
EIF3M	EIF3B
EIF3M	EIF3H
EIF4A1	EIF3B
EIF4A2	EIF3H
EIF4B	EIF3A
EIF4B	EIF3B
EIF4B	EIF3H
EIF4E2	ARIH1
EIF4E2	EIF3H
EIF4ENIF1	EIF4E2
EIF4G1	EIF3A
EIF4G1	EIF3B
EIF4G1	EIF3H
EIF4G1	EIF3I
EIF4G1	EIF4A1
EIF4G1	EIF4A2
EIF4G3	EIF3H
EIF4G3	EIF4A1
EIF4H	EIF4A1
EIF5B	CBL
EIF5B	DKC1
EIF5B	EIF2S2
EIF5B	EIF3B
EIF5B	EIF3G
EIF5B	EIF3I
ELF3	CREBBP
ELF3	EGFR
ELK1	CREBBP
ENAH	ABL1
ENAH	APBB1
ENAH	BAIAP2
EP400	BRD8
EP400	CTNNB1
EP400	DMAP1
EPB41L1	AGAP2
EPC1	DMAP1
EPC1	E2F6
EPC2	DMAP1
EPHA2	CBL
EPHA2	CTNNB1
EPHA2	EFNA3
EPHA2	EGFR
EPN1	AP2A1
EPN1	EGFR
EPOR	ATXN2L
EPOR	CBL
EPS15L1	AGFG1
EPS15L1	EPN1
ERBB2	CD44
ERBB2	CTNNB1
ERBB2	EGFR
ERBB2	ELF3
ETS1	CAMK2A
ETS1	CAMK2B
ETS1	CREBBP
ETS1	DAXX
ETS2	CREBBP
ETS2	ERG
ETS2	ETS1
EXOC2	EXOC1
EYA3	DACH1
EZH1	DNMT3B
EZH1	E2F6
EZH1	EED
F2R	DKC1
F9	F8
FAF1	CSNK2A1
FAF1	CTNNB1
FBXL5	DCTN1
FBXW11	CDC25A
FBXW11	CDC25B
FBXW11	CTNNB1
FBXW11	FAF1
FGD1	CDC42
FGFR1	CREBBP
FGFR1	CTNNB1
FGFR1	FGF10
FGFR2	CACNA1D
FGFR2	CBL
FGFR2	FGF10
FGFR3	ATF3
FGR	CBL
FGR	DOK1
FKBP6	CCNK
FLI1	ERG
FLI1	ETV6
FLNA	ASB2
FLNA	CAMK2G
FLNA	CDC42
FLNB	ATF7IP
FLNB	FLNA
FLNC	ADRA1B
FLOT1	CBL
FLT4	ATF7IP
FNBP1	ARHGAP17
FNBP1	CBL
FNBP1	CDC42
FNBP1	DNM2
FOS	ATF2
FOS	ATF7
FOS	BCL3
FOS	CARM1
FOS	CREBBP
FOS	CSNK2A1
FOS	ELK1
FOS	ETS1
FOS	ETS2
FOXK1	BAP1
FOXK2	BAP1
FOXO1	AKT1
FOXO1	CREBBP
FOXO1	CTNNB1
FOXO1	DYRK1A
FOXP1	CTBP1
FOXP2	FOXP1
FOXP4	FOXP1
FOXP4	FOXP2
FSCN1	CTNNB1
FUBP1	CHD3
FURIN	ADAM19
FURIN	FLNA
FURIN	FLNC
FXR1	CYFIP1
FXR1	CYFIP2
FXR2	CYFIP1
FXR2	CYFIP2
FXR2	FTH1
FXR2	FXR1
FZR1	CDC16
FZR1	CDC20
FZR1	CDT1
GAB2	AKT1
GAB2	BCR
GAB2	EGFR
GAB2	EPOR
GAB2	ETV6
GABBR2	GABBR1
GABPB1	CIC
GAK	CREBBP
GATA1	AKT1
GATA1	CREBBP
GATA1	FLI1
