Source	Target
SMARCC2	NCOR1
SMARCC2	SMARCA4
SMARCC2	SMARCC1
SNRPC	RBM4
SNRPD2	CDC5L
SNRPD2	PRPF8
SNRPD2	SNRPC
SNTB2	SCN5A
SOX6	CTBP2
SPI1	CPEB1
SPI1	CREBBP
SPI1	FUS
SPI1	GATA2
SRF	CREB1
SRF	CREBBP
SRF	ELK1
SRF	GTF2F1
SRF	HMGA1
SRF	MINPP1
SRF	RELA
SRF	SMARCA4
SRRM1	CDC5L
SRRM1	FUS
STK11	MARK4
STK11	SMARCA4
STK11	SNRK
STRAP	SNRPD2
SUMO1	AURKB
SUMO1	CHD3
SUMO1	EGR1
SUMO1	ELK1
SUMO1	IRAK1
SUMO1	MYB
SUMO1	RARA
SUMO1	SOX6
SUMO3	SOX6
SUPT6H	POLR2A
SYF2	CDC5L
SYK	IL2RB
SYK	PLCG2
SYK	PTPN6
TAF15	POLR2E
TAF15	SF1
TANK	IRF3
TARBP2	HDHD2
TARBP2	RBM14
TBL1XR1	NCOR1
TBX21	GATA3
TCF3	BAZ1B
TCF3	CREBBP
TCF3	EP300
TCF3	LYL1
TCF3	NCOR1
TCF3	RUNX1T1
TCF3	SIN3A
TCF3	SRF
TCF7L2	CREBBP
TCF7L2	CTBP1
TCF7L2	EP300
THRA	CREB1
THRA	CREBBP
THRA	FUS
THRA	MED1
THRA	MED24
THRA	NCOR1
THRA	RXRB
THRB	CTCF
THRB	FOXO1
THRB	MED1
THRB	NCOR1
THRB	RARA
THRB	RXRB
TIAM1	CD44
TIAM1	PRKCZ
TP53	AURKB
TP53	BANP
TP53	CCDC106
TP53	CHD3
TP53	CREB1
TP53	CREBBP
TP53	CTBP1
TP53	EGR1
TP53	EP300
TP53	ETHE1
TP53	FOXO1
TP53	FOXO3
TP53	GTF2H1
TP53	HSP90AA1
TP53	HSPA4
TP53	MED1
TP53	NCOR1
TP53	RPS7
TP53	SENP3
TP53	SIN3A
TP53	SMARCA4
TP53	SMARCC1
TP53	STK11
TP53	SUMO1
TP53	SUMO3
TP53	THRB
TP63	EP300
TP63	TP53
TPT1	TP53
TRAF2	BAHD1
TRAF2	BANP
TRAF2	CD40
TRAF2	DTNB
TRAF2	FLNA
TRAF2	HTRA2
TRAF2	ITPK1
TRAF2	LTBR
TRAF2	MAP3K1
TRAF2	NR2C2
TRAF2	RALBP1
TRAF2	RFX3
TRAF2	TANK
TRAF3	CD40
TRAF3	GRIN1
TRAF3	GRIN2D
TRAF3	LTBR
TRAF3	TANK
TRAF3	TRAF2
TSC2	FOXO1
TSHR	GNAO1
TTC19	CHMP4A
TTF2	CDC5L
TTF2	MYB
TUBA1A	PAFAH1B1
TUBA1A	SYK
UBA52	BMPR1B
UBA52	HERC3
UBA52	POLI
UBE3C	CAND2
UBR5	DDB1
UBR5	KPNA1
USF2	EP300
WAPAL	RAD21
WDR77	BAG2
WDR77	SF1
WDR77	SF3B4
WDR77	SNRPC
WDR77	SNRPD2
WIZ	CTBP1
ZNF366	CTBP1
ZYX	BCAR1
ZYX	LASP1
ZYX	LATS1
ZYX	NEBL
ZYX	TES
